Date,Closing_Price,Highest_Price_Of_the_Day,Lowest_Price_Of_The_Day,Opening_Price_Of_The_Day,Volume_Sold
24-07-2014,4.145140648,4.251426375,4.13096924,4.13096924,14000
25-07-2014,4.162855148,4.194740901,4.091998107,4.091998107,17400
28-07-2014,4.198283195,4.251425884,4.162854511,4.162854511,19600
29-07-2014,4.244339943,4.244339943,4.169940316,4.244339943,3000
30-07-2014,4.187654018,4.24079704,4.127425463,4.145139804,12600
31-07-2014,4.192970276,4.201827281,4.145141637,4.152227511,3800
01-08-2014,4.088453293,4.180567573,4.081367761,4.180567573,8000
04-08-2014,4.173482895,4.180568767,4.08845446,4.08845446,8600
05-08-2014,4.145140648,4.167814968,4.138055113,4.142306569,11200
06-08-2014,4.169941902,4.169941902,4.084913097,4.084913097,18600
07-08-2014,4.159312248,4.162855185,4.088455206,4.109712488,9600
08-08-2014,4.180569172,4.180569172,4.11750619,4.148683421,7400
11-08-2014,4.180569172,4.194740579,4.141951978,4.177026236,7000
12-08-2014,4.159312248,4.184112466,4.130969431,4.18056953,19200
13-08-2014,4.180569172,4.184112108,4.109712136,4.148683421,7000
14-08-2014,4.162855148,4.162855148,4.138055268,4.152226677,3400
15-08-2014,4.162855148,4.162855148,4.116797987,4.155769275,7800
18-08-2014,4.162855148,4.180569493,4.07818079,4.081369635,6600
19-08-2014,4.159312248,4.18056953,4.116798023,4.123883896,9800
20-08-2014,4.155768871,4.155768871,4.150808896,4.155768871,1000
21-08-2014,4.123882771,4.16993992,4.099082559,4.099082559,11200
22-08-2014,4.155768871,4.177026151,4.111483183,4.177026151,8800
25-08-2014,4.180569172,4.180569172,4.145140485,4.145140485,8800
26-08-2014,4.152226448,4.162854919,4.095540818,4.162854919,6600
27-08-2014,4.08491087,4.155767887,4.014053852,4.099082273,30000
28-08-2014,4.113255024,4.113255024,4.113255024,4.113255024,1400
29-08-2014,4.138054848,4.138054848,4.074283348,4.134511912,5000
02-09-2014,4.102626801,4.141598091,4.028226819,4.109712674,8000
03-09-2014,4.0742836,4.102626415,4.038854912,4.102626415,21600
04-09-2014,3.967998028,4.159312208,3.939655211,4.021141062,71800
05-09-2014,4.031770229,4.109713157,3.953827302,3.953827302,92200
08-09-2014,4.053027153,4.053027153,3.960913153,3.960913153,17000
09-09-2014,4.0707407,4.130260748,3.999883661,3.999883661,23000
10-09-2014,4.127425194,4.180568212,4.017596898,4.021139833,56000
11-09-2014,4.056569576,4.106169676,4.017598286,4.017598286,33400
12-09-2014,4.038855076,4.109712455,3.989255316,3.992798252,7800
15-09-2014,4.013347149,4.056569899,3.999884259,4.017598606,7000
16-09-2014,4.038146496,4.038146496,3.989255256,4.006969601,9400
17-09-2014,4.049484253,4.180569876,4.035312843,4.045941316,5800
18-09-2014,4.077826023,4.141597181,4.060111681,4.141597181,18000
19-09-2014,4.102626801,4.145141028,4.038855291,4.084912455,18200
22-09-2014,4.077826023,4.081368959,4.042397339,4.081368959,2400
23-09-2014,4.155768871,4.159311807,4.152226273,4.159311807,14000
24-09-2014,4.155768871,4.155768871,4.13451193,4.13451193,9600
25-09-2014,4.148683548,4.148683548,4.11325486,4.114672237,2600
26-09-2014,4.148683548,4.148683548,4.116797796,4.148683548,2400
29-09-2014,4.049484253,4.113255427,4.038855442,4.113255427,51400
30-09-2014,4.028225422,4.088453974,4.025036915,4.088453974,17200
01-10-2014,3.716454506,4.106168659,3.613711733,3.911311582,94600
02-10-2014,3.82274127,3.826284207,3.564112967,3.702284123,105000
03-10-2014,3.897140741,3.964454842,3.785540951,3.790855017,70600
06-10-2014,3.950283527,3.959849388,3.663312437,3.812112387,45800
07-10-2014,3.843997717,3.843997717,3.762511878,3.762511878,21400
08-10-2014,3.851083517,4.166397748,3.808569296,3.815655168,24600
09-10-2014,3.776683331,3.861711768,3.75542639,3.75542639,10200
10-10-2014,3.805026054,3.805026054,3.783769114,3.787311712,3800
13-10-2014,3.744797707,3.808569206,3.744797707,3.808569206,4600
14-10-2014,3.719998598,3.790855647,3.719998598,3.790855647,14200
15-10-2014,3.723541021,3.755426773,3.716455149,3.716455149,22400
16-10-2014,3.897140741,3.897140741,3.712912108,3.712912108,4000
17-10-2014,3.897140741,3.900683678,3.826283705,3.843998048,24600
20-10-2014,3.737713099,3.80857015,3.737713099,3.80857015,9400
21-10-2014,3.858169079,3.964454455,3.769597707,3.861711677,28600
22-10-2014,3.893596888,3.893596888,3.723540039,3.757196913,10600
23-10-2014,3.794396639,3.897139391,3.776682301,3.836910846,5000
24-10-2014,3.826282263,3.897139273,3.691653775,3.691653775,20600
27-10-2014,3.826282263,3.826282263,3.826282263,3.826282263,0
28-10-2014,3.656225681,3.656225681,3.656225681,3.656225681,400
29-10-2014,3.695197105,3.719996977,3.663311363,3.663311363,14400
30-10-2014,3.751883745,3.762512216,3.70228365,3.70228365,16200
31-10-2014,3.748340607,3.755426479,3.737712136,3.737712136,12000
03-11-2014,3.684569597,3.730626759,3.684569597,3.730626759,12800
04-11-2014,3.705118895,3.716455888,3.595998729,3.595998729,4600
05-11-2014,3.65268302,3.734168508,3.65268302,3.734168508,10600
06-11-2014,3.684569597,3.684569597,3.649141245,3.684569597,14800
07-11-2014,3.649139881,3.681025623,3.631425543,3.681025623,10000
10-11-2014,3.712911844,3.730626187,3.712911844,3.730626187,3600
11-11-2014,3.716454506,3.723540378,3.716454506,3.723540378,1000
12-11-2014,3.59599781,3.666855183,3.59599781,3.666855183,122400
13-11-2014,3.620797873,3.645597749,3.599540594,3.634969279,25200
14-11-2014,3.727083921,3.727083921,3.613712323,3.620798195,1000
17-11-2014,3.558797359,3.613711509,3.553482956,3.613711509,101000
18-11-2014,3.503883362,3.712911502,3.486169021,3.546397577,52400
19-11-2014,3.482626677,3.503883957,3.401141168,3.486878133,39800
20-11-2014,3.542854309,3.542854309,3.443654483,3.450740016,76600
21-11-2014,3.500340462,3.542854677,3.471997651,3.542854677,26200
24-11-2014,3.404683113,3.532226094,3.330283154,3.532226094,56400
25-11-2014,3.489712954,3.503884363,3.301941361,3.404684161,96000
26-11-2014,3.386969328,3.422397673,3.365712051,3.422397673,25600
28-11-2014,3.365711689,3.369254624,3.365711689,3.365711689,7400
01-12-2014,3.528683662,3.539312133,3.365712316,3.365712316,32200
02-12-2014,3.574740887,3.727083766,3.542855136,3.542855136,21600
03-12-2014,3.542854309,3.553482777,3.539311374,3.542854309,6200
04-12-2014,3.542854309,3.542854309,3.454282951,3.528682905,8200
05-12-2014,3.489712954,3.539312716,3.471998608,3.493255552,22800
08-12-2014,3.369256496,3.475542255,3.365713559,3.475542255,5200
09-12-2014,3.390512228,3.542855106,3.326741066,3.369255287,32800
10-12-2014,3.344454765,3.413540663,3.33028336,3.383426384,87000
11-12-2014,3.365711689,3.484042897,3.33028301,3.344454414,68400
